PERMNO,date,TICKER,COMNAM,PRC,VOL,RET
19350,20140530,DE,DEERE & CO,91.17,515601,-0.023248
19350,20140630,DE,DEERE & CO,90.55,473943,-0.000219
19350,20140731,DE,DEERE & CO,85.11,723410,-0.060077
19350,20140829,DE,DEERE & CO,84.09,748737,-0.011985
19350,20140930,DE,DEERE & CO,81.99,808211,-0.017838
19350,20141031,DE,DEERE & CO,85.54,1025697,0.043298
19350,20141128,DE,DEERE & CO,86.62,662878,0.012626
19350,20141231,DE,DEERE & CO,88.47,599713,0.028284
19350,20150130,DE,DEERE & CO,85.19,586893,-0.037075
19350,20150227,DE,DEERE & CO,90.6,514259,0.063505
19350,20150331,DE,DEERE & CO,87.69,604314,-0.025497
19350,20150430,DE,DEERE & CO,90.52,476025,0.032273
19350,20150529,DE,DEERE & CO,93.68,633895,0.034909
19350,20150630,DE,DEERE & CO,97.05,599077,0.042378
19350,20150731,DE,DEERE & CO,94.57,554386,-0.025554
19350,20150831,DE,DEERE & CO,81.78,793983,-0.135244
19350,20150930,DE,DEERE & CO,74,807921,-0.087797
19350,20151030,DE,DEERE & CO,78,828518,0.054054
19350,20151130,DE,DEERE & CO,79.57,759408,0.020128
19350,20151231,DE,DEERE & CO,76.27,697591,-0.033932
22111,20070131,JNJ,JOHNSON & JOHNSON,66.8,1756485,0.011815
22111,20070228,JNJ,JOHNSON & JOHNSON,62.93,1924198,-0.05232
22111,20070330,JNJ,JOHNSON & JOHNSON,60.26,3187544,-0.042428
22111,20070430,JNJ,JOHNSON & JOHNSON,64.22,2490509,0.065715
22111,20070531,JNJ,JOHNSON & JOHNSON,63.27,2813710,-0.008331
22111,20070629,JNJ,JOHNSON & JOHNSON,61.62,2601603,-0.026079
22111,20070731,JNJ,JOHNSON & JOHNSON,60.5,2903832,-0.018176
22111,20070831,JNJ,JOHNSON & JOHNSON,61.79,3309702,0.028182
22111,20070928,JNJ,JOHNSON & JOHNSON,65.7,2205720,0.063279
22111,20071031,JNJ,JOHNSON & JOHNSON,65.17,2327586,-0.008067
22111,20071130,JNJ,JOHNSON & JOHNSON,67.74,2848352,0.045803
22111,20071231,JNJ,JOHNSON & JOHNSON,66.7,1972371,-0.015353
22111,20080131,JNJ,JOHNSON & JOHNSON,63.14,3402773,-0.053373
22111,20080229,JNJ,JOHNSON & JOHNSON,61.96,2189288,-0.012116
22111,20080331,JNJ,JOHNSON & JOHNSON,64.87,2754169,0.046966
22111,20080430,JNJ,JOHNSON & JOHNSON,67.09,2219625,0.034222
22111,20080530,JNJ,JOHNSON & JOHNSON,66.74,2199626,0.00164
